Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
17901,565;166792;3172;168960;300408;300784;349696;467200;303956;518656;;;;;;
17905,481;165988;2663;168960;300784;301772;349696;466772;304435;518656;;;;;;
17914,186;165479;3956;168448;301772;302307;349696;467251;306263;518144;;;;;;
17934,006;166772;2721;168960;302307;303235;349696;469079;305956;518656;;;;;;
17945,094;165537;1201;169472;303235;303953;349696;468772;305154;519168;;;;;;
17956,958;165041;1328;169472;303953;304385;349696;468994;305713;519168;;;;;;
17964,813;165168;3452;169472;304385;304858;349696;469553;308310;519168;;;;;;
17971,489;167292;1425;169472;304858;305891;349696;472150;307316;519168;;;;;;
18007,420;165265;1092;169472;305891;306531;349696;471156;307623;519168;;;;;;
18018,268;164932;2820;169472;306531;306851;349696;471463;309671;519168;;;;;;
18034,329;166660;4680;168448;306851;307564;349696;473511;312244;518144;;;;;;
18075,414;167496;1024;168960;307564;308227;349696;475060;309251;518656;;;;;;
18094,348;163840;512;168960;308227;308763;349696;472067;309275;518656;;;;;;
18157,924;163328;1913;168960;308763;309028;349696;472091;310941;518656;;;;;;
18269,603;164650;3312;169472;309028;309556;349696;473678;312868;519168;;;;;;
18310,617;167152;1057;169472;309556;310147;349696;476708;311204;519168;;;;;;
18339,803;164897;704;169472;310147;310443;349696;475044;311147;519168;;;;;;
18378,834;164544;2676;169472;310443;310659;349696;474987;313335;519168;;;;;;
18435,917;166516;4488;168448;310659;311389;349696;477175;315877;518144;;;;;;
18463,708;167304;1216;168960;311389;312256;349696;478693;313472;518656;;;;;;
18510,438;164032;1184;169472;312256;312384;349696;476288;313568;519168;;;;;;
18550,327;164512;1364;168960;312384;312912;349696;476896;314276;518656;;;;;;
18584,529;164692;2464;169472;312912;313056;349696;477604;315520;519168;;;;;;
18676,479;166304;1568;169472;313056;313512;349696;479360;315080;519168;;;;;;
18724,458;128336;640;169984;313512;313688;349696;441848;314328;519680;;;;;;
18724,468;640;0;169984;313688;266629;349696;314328;266629;519680;184045;181300;786432;498373;447929;1306112
18775,100;164714;3566;168448;266954;266954;349696;431668;270520;518144;;;;;;
18926,442;168430;2849;169472;266957;267791;349696;435387;270640;519168;;;;;;
18969,533;166689;4060;169472;267791;268679;349696;434480;272739;519168;;;;;;
19023,343;167900;3620;168448;268679;269718;349696;436579;273338;518144;;;;;;
19053,078;166436;4044;168960;269718;270594;349696;436154;274638;518656;;;;;;
19064,853;166860;2496;168960;270594;271273;349696;437454;273769;518656;;;;;;
19076,120;165312;1440;168960;271273;271881;349696;436585;273321;518656;;;;;;
19118,668;164256;4940;167424;271881;272723;349696;436137;277663;517120;;;;;;
19188,579;166732;1090;168448;272723;274389;349696;439455;275479;518144;;;;;;
19196,508;162882;1060;168960;274389;274549;349696;437271;275609;518656;;;;;;
19247,288;163876;4166;167424;274549;274892;349696;438425;279058;517120;;;;;;
19294,152;166982;912;168448;274892;275879;349696;441874;276791;518144;;;;;;
19361,323;162704;4550;168448;275879;276006;349696;438583;280556;518144;;;;;;
19403,243;166342;3068;168448;276006;276980;349696;442348;280048;518144;;;;;;
19449,473;164860;4597;166400;276980;277731;349696;441840;282328;516096;;;;;;
19493,313;166389;755;167936;277731;278868;349696;444120;279623;517632;;;;;;
19601,551;161523;2511;167936;278868;278971;349696;440391;281482;517632;;;;;;
19644,074;163279;4502;168448;278971;280125;349696;442250;284627;518144;;;;;;
19694,691;166294;4948;166912;280125;281126;349696;446419;286074;516608;;;;;;
19820,127;166740;2564;167936;281126;282051;349696;447866;284615;517632;;;;;;
19895,915;163332;2863;167936;282051;282755;349696;445383;285618;517632;;;;;;
19934,887;163631;4776;167424;282755;283492;349696;446386;288268;517120;;;;;;
20150,595;165544;4991;167936;283492;284532;349696;449036;289523;517632;;;;;;
20488,275;165759;3140;167936;284532;285417;349696;450291;288557;517632;;;;;;
20527,023;163908;5141;167936;285417;286209;349696;449325;291350;517632;;;;;;
20553,885;165909;7154;164864;286209;287962;349696;452118;295116;514560;;;;;;
20572,314;164850;4413;166400;287962;289544;349696;452812;293957;516096;;;;;;
20610,896;162109;3132;166912;289544;290522;349696;451653;293654;516608;;;;;;
20637,046;161340;1151;166400;290522;291155;349696;451862;292306;516096;;;;;;
20658,056;159359;1408;166912;291155;291746;349696;450514;293154;516608;;;;;;
20666,598;160128;2387;166912;291746;292138;349696;451874;294525;516608;;;;;;
20695,973;161107;2704;167424;292138;292698;349696;453245;295402;517120;;;;;;
20863,034;161936;3636;166912;292698;293611;349696;454634;297247;516608;;;;;;
20939,266;162868;3284;167936;293611;294504;349696;456479;297788;517632;;;;;;
20975,866;163540;3433;167424;294504;295311;349696;458044;298744;517120;;;;;;
21001,826;163689;4744;167424;295311;296139;349696;459000;300883;517120;;;;;;
21089,952;165512;1056;167936;296139;297054;349696;461651;298110;517632;;;;;;
21138,905;161824;899;167936;297054;297463;349696;458878;298362;517632;;;;;;
21221,627;161667;4868;167936;297463;297719;349696;459130;302587;517632;;;;;;
21345,605;165636;1584;167936;297719;298772;349696;463355;300356;517632;;;;;;
21392,426;162352;1968;167936;298772;299228;349696;461124;301196;517632;;;;;;
21420,429;162736;1075;167936;299228;299946;349696;461964;301021;517632;;;;;;
21593,170;161843;5059;165888;299946;300186;349696;461789;305245;515584;;;;;;
21651,823;165827;784;167936;300186;301171;349696;466013;301955;517632;;;;;;
21747,094;161040;4146;167424;301171;301452;349696;462211;305598;517120;;;;;;
21778,044;164402;4416;167424;301452;302188;349696;465854;306604;517120;;;;;;
21805,167;164160;800;167424;302188;303083;349696;466348;303883;517120;;;;;;
21819,281;160544;1423;167936;303083;303356;349696;463627;304779;517632;;;;;;
21845,844;161679;4351;167424;303356;303898;349696;465035;308249;517120;;;;;;
21908,067;164607;5442;166400;303898;304692;349696;468505;310134;516096;;;;;;
21979,385;164162;3956;166912;304692;305727;349696;468854;309683;516608;;;;;;
22000,010;162676;704;167424;305727;306927;349696;468403;307631;517120;;;;;;
22076,105;160448;6245;166400;306927;307191;349696;467375;313436;516096;;;;;;
22094,334;165989;1233;166400;307191;308689;349696;473180;309922;516096;;;;;;
22129,260;158929;4820;166400;308689;309505;349696;467618;314325;516096;;;;;;
22146,752;162516;1023;166400;309505;310847;349696;472021;311870;516096;;;;;;
22153,639;158719;3268;166400;310847;311477;349696;469566;314745;516096;;;;;;
22173,595;160964;2304;167424;311477;312326;349696;472441;314630;517120;;;;;;
22185,700;161536;5800;166912;312326;313493;349696;473862;319293;516608;;;;;;
22210,434;165032;960;166912;313493;314620;349696;478525;315580;516608;;;;;;
22226,160;159680;3247;166912;314620;314949;349696;474300;318196;516608;;;;;;
22245,827;161967;7650;164352;314949;315763;349696;476916;323413;514048;;;;;;
22263,019;164322;1776;165888;315763;317101;349696;480085;318877;515584;;;;;;
22271,082;158448;3535;166400;317101;317925;349696;475549;321460;516096;;;;;;
22297,561;160719;2852;165888;317925;318552;349696;478644;321404;515584;;;;;;
22325,486;144791;576;166912;318552;319200;349696;463343;319776;516608;;;;;;
22325,497;576;0;166912;319200;273511;349696;319776;273511;516608;186198;181443;786432;505974;454954;1303040
22346,732;158720;3267;166912;273511;273512;349696;432231;276779;516608;;;;;;
22379,232;161987;2096;167424;273512;274423;349696;435499;276519;517120;;;;;;
22408,323;161840;3408;167424;274423;275224;349696;436263;278632;517120;;;;;;
22438,465;163152;3371;167936;275224;275609;349696;438376;278980;517632;;;;;;
22507,510;164139;5862;166912;275609;276515;349696;439748;282377;516608;;;;;;
22514,219;166630;2368;167936;276515;277379;349696;443145;279747;517632;;;;;;
22587,164;162624;5716;167424;277379;278431;349696;440003;284147;517120;;;;;;
22597,335;165972;2249;167424;278431;280095;349696;444403;282344;517120;;;;;;
22634,900;161993;3200;167424;280095;280726;349696;442088;283926;517120;;;;;;
22695,113;162944;2371;167936;280726;281679;349696;443670;284050;517632;;;;;;
